01;CLA;IPL3;201611;
1;J;2306306;1;EBT;
1;J;2306405;6;EBT;
1;J;2306504;1;EBT;
1;J;2306553;4;EBT;
1;J;2306603;2;EBT;
1;J;2306702;1;EBT;
1;J;2306801;1;EBT;
1;J;2306900;2;EBT;
1;J;2307007;3;EBT;
1;J;2307106;1;EBT;
1;J;2307205;1;EBT;
1;J;2307254;3;EBT;
1;J;2307304;46;EBT;
1;J;2307403;1;EBT;
1;J;2307502;1;EBT;
1;J;2307601;6;EBT;
1;J;2307635;1;EBT;
1;J;2307650;88;EBT;
1;J;2307700;6;EBT;
1;J;2307809;1;EBT;
1;J;2307908;1;EBT;
1;J;2308005;1;EBT;
1;J;2308104;2;EBT;
1;J;2308203;1;EBT;
1;J;2308302;2;EBT;
1;J;2308351;1;EBT;
1;J;2308377;2;EBT;
1;J;2308500;1;EBT;
1;J;2308609;2;EBT;
1;J;2308708;2;EBT;
1;J;2308807;1;EBT;
1;J;2308906;1;EBT;
1;J;2309003;1;EBT;
1;J;2309201;1;EBT;
1;J;2309300;2;EBT;
1;J;2309409;2;EBT;
1;J;2309458;1;EBT;
1;J;2309508;2;EBT;
1;J;2309607;7;EBT;
1;J;2309706;11;EBT;
1;J;2309805;1;EBT;
1;J;2309904;1;EBT;
1;J;2310001;1;EBT;
1;J;2310100;2;EBT;
1;J;2310209;2;EBT;
1;J;2310258;2;EBT;
1;J;2310308;3;EBT;
1;J;2310407;1;EBT;
1;J;2310506;2;EBT;
1;J;2310605;1;EBT;
1;J;2310704;3;EBT;
1;J;2310803;2;EBT;
1;J;2310852;2;EBT;
1;J;2310902;1;EBT;
1;J;2310951;1;EBT;
1;J;2311009;1;EBT;
1;J;2311108;1;EBT;
1;J;2311207;2;EBT;
1;J;2311231;1;EBT;
1;J;2311264;1;EBT;
1;J;2311306;6;EBT;
1;J;2311355;1;EBT;
1;J;2311405;3;EBT;
1;J;2311504;2;EBT;
1;J;2311603;3;EBT;
1;J;2311702;1;EBT;
1;J;2311801;21;EBT;
1;J;2311900;2;EBT;
1;J;2311959;1;EBT;
1;J;2312007;2;EBT;
1;J;2312106;1;EBT;
1;J;2312205;4;EBT;
1;J;2312304;2;EBT;
1;J;2312403;14;EBT;
1;J;2312502;1;EBT;
1;J;2312601;1;EBT;
1;J;2312700;4;EBT;
1;J;2312809;1;EBT;
1;J;2312908;65;EBT;
1;J;2313005;2;EBT;
1;J;2313104;1;EBT;
1;J;2313203;2;EBT;
1;J;2313252;1;EBT;
1;J;2313302;7;EBT;
1;J;2313351;1;EBT;
1;J;2313401;14;EBT;
1;J;2313500;1;EBT;
1;J;2313559;1;EBT;
1;J;2313609;4;EBT;
1;J;2313708;1;EBT;
1;J;2313757;1;EBT;
1;J;2313807;4;EBT;
1;J;2313906;1;EBT;
1;J;2313955;1;EBT;
1;J;2314003;2;EBT;
1;J;2314102;3;EBT;
1;J;2400109;8;EBT;
1;J;2400208;7;EBT;
1;J;2400307;1;EBT;
1;J;2400406;1;EBT;
1;J;2400505;1;EBT;
1;J;2400703;4;EBT;
1;J;2400802;4;EBT;
1;J;2400901;1;EBT;
1;J;2401008;1;EBT;
1;J;2401107;3;EBT;
1;J;2401206;1;EBT;
1;J;2401305;1;EBT;
1;J;2401404;2;EBT;
1;J;2401453;2;EBT;
1;J;2401503;1;EBT;
1;J;2401602;1;EBT;
1;J;2401651;1;EBT;
1;J;2401701;1;EBT;
1;J;2401800;1;EBT;
1;J;2401909;2;EBT;
1;J;2402006;4;EBT;
1;J;2402105;2;EBT;
1;J;2402204;3;EBT;
1;J;2402303;2;EBT;
1;J;2402402;2;EBT;
1;J;2402501;1;EBT;
1;J;2402600;4;EBT;
