01;CLA;IPL3;201210;
1;J;2211001;186;
1;J;2211308;1;
1;J;2300101;1;
1;J;2300150;1;
1;J;2300200;3;
1;J;2300309;4;
1;J;2300408;3;
1;J;2300507;1;
1;J;2300705;1;
1;J;2300754;1;
1;J;2300804;1;
1;J;2301000;20;
1;J;2301109;11;
1;J;2301208;1;
1;J;2301257;2;
1;J;2301307;2;
1;J;2301406;1;
1;J;2301505;1;
1;J;2301703;1;
1;J;2301802;1;
1;J;2301851;1;
1;J;2301901;10;
1;J;2302008;1;
1;J;2302057;1;
1;J;2302107;3;
1;J;2302206;1;
1;J;2302305;1;
1;J;2302404;4;
1;J;2302503;3;
1;J;2302602;5;
1;J;2302701;4;
1;J;2302800;4;
1;J;2302909;1;
1;J;2303006;1;
1;J;2303105;2;
1;J;2303303;2;
1;J;2303402;1;
1;J;2303501;5;
1;J;2303600;1;
1;J;2303659;1;
1;J;2303709;22;
1;J;2303808;2;
1;J;2303907;2;
1;J;2303931;1;
1;J;2303956;2;
1;J;2304004;1;
1;J;2304103;2;
1;J;2304202;13;
1;J;2304236;2;
1;J;2304251;1;
1;J;2304269;1;
1;J;2304277;1;
1;J;2304285;21;
1;J;2304301;1;
1;J;2304350;1;
1;J;2304400;225;
1;J;2304459;1;
1;J;2304509;1;
1;J;2304657;1;
1;J;2304707;2;
1;J;2304806;1;
1;J;2304905;1;
1;J;2304954;3;
1;J;2305001;2;
1;J;2305209;1;
1;J;2305233;9;
1;J;2305266;1;
1;J;2305308;2;
1;J;2305332;1;
1;J;2305357;2;
1;J;2305407;1;
1;J;2305506;5;
1;J;2305605;1;
1;J;2305654;1;
1;J;2305704;2;
1;J;2305803;2;
1;J;2305902;2;
1;J;2306009;2;
1;J;2306108;2;
1;J;2306207;1;
1;J;2306256;1;
1;J;2306306;1;
1;J;2306405;4;
1;J;2306504;1;
1;J;2306553;3;
1;J;2306603;2;
1;J;2306702;1;
1;J;2306801;1;
1;J;2306900;2;
1;J;2307007;3;
1;J;2307106;1;
1;J;2307205;1;
1;J;2307254;3;
1;J;2307304;20;
1;J;2307403;1;
1;J;2307502;1;
1;J;2307601;6;
1;J;2307635;1;
1;J;2307650;46;
1;J;2307700;3;
1;J;2307809;1;
1;J;2307908;1;
1;J;2308005;1;
1;J;2308104;3;
1;J;2308203;1;
1;J;2308302;1;
1;J;2308351;1;
1;J;2308377;1;
1;J;2308500;2;
1;J;2308609;2;
1;J;2308708;3;
1;J;2308807;1;
1;J;2308906;1;
1;J;2309003;1;
1;J;2309201;1;
1;J;2309300;3;
1;J;2309409;3;
1;J;2309458;1;
1;J;2309508;3;
1;J;2309607;6;
1;J;2309706;8;
1;J;2309805;1;
1;J;2309904;1;
1;J;2310001;1;
1;J;2310100;2;
1;J;2310209;2;
1;J;2310258;2;
1;J;2310308;2;
1;J;2310407;1;
1;J;2310506;2;
1;J;2310605;1;
1;J;2310704;3;
1;J;2310803;2;
1;J;2310852;2;
1;J;2310902;1;
1;J;2310951;1;
1;J;2311009;1;
1;J;2311108;1;
1;J;2311207;1;
1;J;2311231;1;
1;J;2311264;1;
1;J;2311306;4;
1;J;2311355;1;
1;J;2311405;3;
1;J;2311504;2;
1;J;2311603;3;
1;J;2311702;1;
1;J;2311801;6;
1;J;2311900;2;
1;J;2311959;1;
1;J;2312007;2;
1;J;2312106;1;
1;J;2312205;4;
1;J;2312304;2;
1;J;2312403;11;
1;J;2312502;1;
1;J;2312601;1;
1;J;2312700;5;
1;J;2312809;1;
1;J;2312908;31;
1;J;2313005;2;
1;J;2313104;1;
1;J;2313203;2;
1;J;2313252;1;
1;J;2313302;6;
1;J;2313351;1;
1;J;2313401;4;
1;J;2313500;2;
1;J;2313559;1;
1;J;2313609;4;
1;J;2313708;1;
1;J;2313757;1;
1;J;2313807;3;
1;J;2313906;1;
1;J;2313955;1;
1;J;2314003;2;
1;J;2314102;3;
1;J;2400109;7;
1;J;2400208;4;
1;J;2400307;1;
1;J;2400406;1;
1;J;2400505;1;
1;J;2400703;3;
1;J;2400802;8;
1;J;2400901;1;
1;J;2401008;1;
1;J;2401107;2;
1;J;2401206;1;
1;J;2401305;1;
1;J;2401404;1;
1;J;2401453;2;
1;J;2401503;1;
1;J;2401602;1;
1;J;2401651;1;
1;J;2401701;1;
1;J;2401800;1;
1;J;2401909;1;
1;J;2402006;2;
1;J;2402105;2;
1;J;2402204;2;
1;J;2402303;2;
1;J;2402402;2;
1;J;2402501;1;
1;J;2402600;6;
1;J;2402709;2;
1;J;2402808;1;
1;J;2402907;1;
1;J;2403004;1;
1;J;2403103;9;
1;J;2403202;1;
1;J;2403251;47;
1;J;2403301;1;
1;J;2403400;1;
1;J;2403509;1;
1;J;2403608;1;
1;J;2403707;2;
1;J;2403756;1;
1;J;2403806;1;
1;J;2403905;1;
1;J;2404002;1;
1;J;2404101;1;
1;J;2404200;5;
1;J;2404309;1;
1;J;2404408;1;
1;J;2404507;3;
1;J;2404606;1;
1;J;2404705;3;
1;J;2404804;1;
1;J;2404853;1;
1;J;2404903;1;
1;J;2405009;2;
1;J;2405108;1;
1;J;2405207;1;
1;J;2405306;1;
1;J;2405405;1;
1;J;2405504;1;
1;J;2405603;1;
1;J;2405702;1;
1;J;2405801;1;
1;J;2405900;1;
1;J;2406007;1;
1;J;2406106;1;
1;J;2406155;1;
1;J;2406205;1;
1;J;2406304;1;
1;J;2406403;1;
1;J;2406502;2;
1;J;2406601;1;
1;J;2406700;1;
1;J;2406809;1;
1;J;2406908;1;
1;J;2407104;24;
1;J;2407203;3;
1;J;2407252;1;
1;J;2407302;1;
1;J;2407401;5;
1;J;2407500;1;
1;J;2407609;1;
1;J;2407708;1;
1;J;2407807;1;
1;J;2407906;1;
1;J;2408003;81;
1;J;2408102;161;
1;J;2408201;2;
1;J;2408300;2;
1;J;2408409;1;
1;J;2408508;1;
1;J;2408607;1;
1;J;2408805;1;
1;J;2408904;2;
1;J;2408953;3;
1;J;2409100;2;
1;J;2409209;1;
1;J;2409308;1;
1;J;2409332;2;
1;J;2409407;1;
1;J;2409506;1;
1;J;2409605;1;
1;J;2409704;2;
1;J;2409803;1;
1;J;2409902;2;
1;J;2410009;1;
1;J;2410108;1;
1;J;2410207;3;
1;J;2410306;1;
1;J;2410405;1;
1;J;2410504;1;
1;J;2410603;1;
1;J;2410702;1;
1;J;2410801;1;
1;J;2410900;1;
1;J;2411007;1;
1;J;2411106;1;
1;J;2411205;4;
1;J;2411403;1;
1;J;2411429;1;
1;J;2411502;2;
1;J;2411601;1;
1;J;2411700;1;
1;J;2411809;1;
1;J;2411908;1;
1;J;2412005;11;
1;J;2412104;1;
1;J;2412203;2;
1;J;2412302;1;
1;J;2412401;1;
1;J;2412609;1;
1;J;2412708;1;
1;J;2412807;1;
1;J;2413003;1;
1;J;2413102;1;
1;J;2413201;1;
1;J;2413300;1;
1;J;2413359;1;
1;J;2413409;2;
1;J;2413508;1;
1;J;2413557;1;
1;J;2413607;1;
1;J;2413706;1;
1;J;2413805;1;
1;J;2413904;1;
1;J;2414001;2;
1;J;2414100;1;
1;J;2414159;1;
1;J;2414209;1;
1;J;2414308;1;
1;J;2414407;1;
1;J;2414456;1;
1;J;2414506;1;
1;J;2414605;1;
1;J;2414704;1;
1;J;2414753;1;
1;J;2414803;1;
1;J;2414902;1;
1;J;2415008;1;
1;J;2500106;3;
1;J;2500205;2;
1;J;2500304;3;
1;J;2500403;3;
1;J;2500502;4;
1;J;2500536;1;
1;J;2500601;12;
1;J;2500700;5;
1;J;2500775;1;
1;J;2500809;1;
1;J;2500908;1;
1;J;2501005;10;
1;J;2501104;4;
1;J;2501203;1;
1;J;2501302;4;
1;J;2501401;2;
1;J;2501500;5;
1;J;2501575;3;
1;J;2501609;3;
1;J;2501708;2;
1;J;2501807;5;
1;J;2501906;5;
1;J;2502003;1;
1;J;2502102;1;
1;J;2502151;2;
1;J;2502201;1;
1;J;2502300;1;
1;J;2502409;4;
1;J;2502508;6;
1;J;2502607;2;
1;J;2502706;1;
1;J;2502805;4;
1;J;2502904;1;
1;J;2503001;5;
1;J;2503100;4;
1;J;2503209;26;
1;J;2503308;1;
1;J;2503407;1;
1;J;2503506;2;
1;J;2503555;1;
1;J;2503605;3;
1;J;2503704;8;
1;J;2503803;1;
1;J;2503902;1;
1;J;2504009;103;
1;J;2504074;1;
1;J;2504108;1;
1;J;2504207;1;
1;J;2504306;6;
1;J;2504405;5;
1;J;2504504;1;
1;J;2504603;12;
1;J;2504702;1;
1;J;2504801;4;
1;J;2504850;1;
1;J;2504900;4;
1;J;2505006;1;
1;J;2505105;5;
1;J;2505204;1;
1;J;2505238;1;
1;J;2505279;2;
1;J;2505303;1;
1;J;2505402;1;
1;J;2505501;1;
1;J;2505600;2;
1;J;2505709;2;
1;J;2505808;1;
1;J;2505907;1;
1;J;2506004;3;
1;J;2506202;1;
1;J;2506301;9;
1;J;2506400;3;
1;J;2506608;2;
1;J;2506707;1;
1;J;2506806;5;
1;J;2506905;4;
1;J;2507002;6;
1;J;2507101;1;
1;J;2507200;1;
1;J;2507309;5;
1;J;2507408;2;
1;J;2507507;224;
1;J;2507606;1;
1;J;2507705;4;
1;J;2507804;1;
1;J;2507903;1;
1;J;2508000;1;
1;J;2508109;1;
1;J;2508208;1;
1;J;2508307;1;
1;J;2508406;1;
1;J;2508505;1;
1;J;2508604;3;
1;J;2508703;1;
1;J;2508802;6;
1;J;2508901;5;
1;J;2509057;2;
1;J;2509107;3;
1;J;2509156;1;
1;J;2509305;3;
1;J;2509396;1;
1;J;2509404;1;
1;J;2509602;1;
1;J;2509701;8;
1;J;2509800;1;
1;J;2509909;1;
1;J;2510006;1;
1;J;2510204;1;
1;J;2510303;1;
1;J;2510402;1;
1;J;2510501;1;
1;J;2510600;1;
1;J;2510659;3;
1;J;2510709;1;
1;J;2510808;10;
1;J;2510907;2;
1;J;2511004;2;
1;J;2511103;1;
1;J;2511202;7;
1;J;2511301;6;
1;J;2511400;6;
1;J;2511509;5;
1;J;2511608;3;
1;J;2511707;1;
1;J;2511806;4;
1;J;2512002;3;
1;J;2512101;7;
1;J;2512200;4;
1;J;2512309;6;
1;J;2512507;5;
1;J;2512705;4;
1;J;2512754;1;
1;J;2512788;1;
1;J;2512804;1;
1;J;2512903;8;
1;J;2513000;1;
1;J;2513208;1;
1;J;2513307;2;
1;J;2513406;4;
1;J;2513505;1;
1;J;2513604;3;
1;J;2513703;13;
1;J;2513802;1;
1;J;2513851;1;
1;J;2513901;4;
1;J;2514008;5;
1;J;2514107;1;
1;J;2514206;1;
1;J;2514305;1;
1;J;2514404;1;
1;J;2514503;4;
1;J;2514602;1;
1;J;2514701;1;
1;J;2514800;1;
1;J;2514909;3;
1;J;2515005;1;
1;J;2515104;1;
1;J;2515203;1;
1;J;2515302;7;
1;J;2515500;6;
1;J;2515609;1;
1;J;2515708;1;
1;J;2515807;1;
1;J;2515906;4;
1;J;2516003;2;
1;J;2516102;3;
1;J;2516201;7;
1;J;2516300;4;
1;J;2516409;1;
1;J;2516508;5;
1;J;2516607;1;
1;J;2516706;7;
1;J;2516805;1;
1;J;2516904;6;
1;J;2517001;4;
1;J;2517100;1;
1;J;2600054;32;
1;J;2600104;1;
1;J;2600203;2;
1;J;2600401;2;
1;J;2600500;4;
1;J;2600708;3;
1;J;2600906;1;
1;J;2601052;1;
1;J;2601102;3;
1;J;2601201;7;
1;J;2601409;9;
1;J;2601607;1;
1;J;2601706;9;
1;J;2601904;3;
1;J;2602001;1;
1;J;2602100;2;
1;J;2602209;6;
1;J;2602605;2;
1;J;2602704;1;
1;J;2602803;1;
1;J;2602902;94;
1;J;2603009;3;
1;J;2603108;1;
1;J;2603207;1;
1;J;2603454;5;
1;J;2603603;1;
1;J;2603926;2;
1;J;2604007;8;
1;J;2604106;72;
1;J;2604155;1;
1;J;2604205;4;
1;J;2604502;1;
1;J;2604700;1;
1;J;2604809;1;
1;J;2604908;1;
1;J;2605004;1;
1;J;2605103;1;
1;J;2605152;1;
1;J;2605202;9;
1;J;2605301;2;
1;J;2605400;1;
1;J;2605459;5;
1;J;2605509;1;
1;J;2605608;2;
1;J;2605707;4;
1;J;2606002;22;
1;J;2606101;1;
1;J;2606200;12;
1;J;2606408;12;
1;J;2606606;3;
1;J;2606804;25;
1;J;2607208;94;
1;J;2607307;1;
1;J;2607604;2;
1;J;2607653;4;
